id,item_name,dept_name,cat_name,state_id,d,units_sold,date,event_name_1,event_type_1,avg_temp,rain_mm,snow_flag,state,income_low,income_mid,income_high,prefers_value,prefers_premium,bulk_buy,seasonal_spike,state_abbr,store_name
Meat and Produce - 428 @ CA Store 2,Meat and Produce - 428,Meat and Produce,Food Items,CA,d_1854,1,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 2
Meat and Produce - 084 @ CA Store 4,Meat and Produce - 084,Meat and Produce,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Toys & Games - 289 @ CA Store 4,Toys & Games - 289,Toys & Games,Leisure & Lifestyle,CA,d_1854,1,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Snacks and Dry Foods - 395 @ CA Store 1,Snacks and Dry Foods - 395,Snacks and Dry Foods,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 1
Books & Crafts - 014 @ CA Store 1,Books & Crafts - 014,Books & Crafts,Leisure & Lifestyle,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 1
Snacks and Dry Foods - 236 @ CA Store 4,Snacks and Dry Foods - 236,Snacks and Dry Foods,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Toys & Games - 313 @ CA Store 1,Toys & Games - 313,Toys & Games,Leisure & Lifestyle,CA,d_1854,2,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 1
Cleaning Supplies - 455 @ CA Store 1,Cleaning Supplies - 455,Cleaning Supplies,Home Essentials,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 1
Toys & Games - 128 @ CA Store 3,Toys & Games - 128,Toys & Games,Leisure & Lifestyle,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 3
Kitchen & Dining - 046 @ CA Store 1,Kitchen & Dining - 046,Kitchen & Dining,Home Essentials,CA,d_1854,2,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 1
Meat and Produce - 496 @ CA Store 4,Meat and Produce - 496,Meat and Produce,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Meat and Produce - 375 @ CA Store 4,Meat and Produce - 375,Meat and Produce,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Kitchen & Dining - 040 @ CA Store 4,Kitchen & Dining - 040,Kitchen & Dining,Home Essentials,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Cleaning Supplies - 523 @ CA Store 1,Cleaning Supplies - 523,Cleaning Supplies,Home Essentials,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 1
Snacks and Dry Foods - 130 @ CA Store 3,Snacks and Dry Foods - 130,Snacks and Dry Foods,Food Items,CA,d_1854,2,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 3
Toys & Games - 084 @ CA Store 2,Toys & Games - 084,Toys & Games,Leisure & Lifestyle,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 2
Beverages and Dairy - 059 @ CA Store 4,Beverages and Dairy - 059,Beverages and Dairy,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Meat and Produce - 508 @ CA Store 1,Meat and Produce - 508,Meat and Produce,Food Items,CA,d_1854,1,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 1
Kitchen & Dining - 140 @ CA Store 1,Kitchen & Dining - 140,Kitchen & Dining,Home Essentials,CA,d_1854,1,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 1
Cleaning Supplies - 038 @ CA Store 4,Cleaning Supplies - 038,Cleaning Supplies,Home Essentials,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Meat and Produce - 640 @ CA Store 1,Meat and Produce - 640,Meat and Produce,Food Items,CA,d_1854,1,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 1
Snacks and Dry Foods - 342 @ CA Store 4,Snacks and Dry Foods - 342,Snacks and Dry Foods,Food Items,CA,d_1854,1,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Snacks and Dry Foods - 298 @ CA Store 1,Snacks and Dry Foods - 298,Snacks and Dry Foods,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 1
Toys & Games - 252 @ CA Store 4,Toys & Games - 252,Toys & Games,Leisure & Lifestyle,CA,d_1854,2,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Beverages and Dairy - 157 @ CA Store 4,Beverages and Dairy - 157,Beverages and Dairy,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Books & Crafts - 068 @ CA Store 2,Books & Crafts - 068,Books & Crafts,Leisure & Lifestyle,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 2
Snacks and Dry Foods - 254 @ CA Store 2,Snacks and Dry Foods - 254,Snacks and Dry Foods,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 2
Toys & Games - 127 @ CA Store 3,Toys & Games - 127,Toys & Games,Leisure & Lifestyle,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 3
Toys & Games - 389 @ CA Store 2,Toys & Games - 389,Toys & Games,Leisure & Lifestyle,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 2
Snacks and Dry Foods - 309 @ CA Store 4,Snacks and Dry Foods - 309,Snacks and Dry Foods,Food Items,CA,d_1854,5,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Cleaning Supplies - 524 @ CA Store 2,Cleaning Supplies - 524,Cleaning Supplies,Home Essentials,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 2
Meat and Produce - 816 @ CA Store 4,Meat and Produce - 816,Meat and Produce,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Meat and Produce - 066 @ CA Store 2,Meat and Produce - 066,Meat and Produce,Food Items,CA,d_1854,2,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 2
Toys & Games - 384 @ CA Store 3,Toys & Games - 384,Toys & Games,Leisure & Lifestyle,CA,d_1854,1,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 3
Kitchen & Dining - 302 @ CA Store 4,Kitchen & Dining - 302,Kitchen & Dining,Home Essentials,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Cleaning Supplies - 357 @ CA Store 3,Cleaning Supplies - 357,Cleaning Supplies,Home Essentials,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 3
Kitchen & Dining - 001 @ CA Store 4,Kitchen & Dining - 001,Kitchen & Dining,Home Essentials,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 4
Meat and Produce - 651 @ CA Store 2,Meat and Produce - 651,Meat and Produce,Food Items,CA,d_1854,3,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 2
Toys & Games - 381 @ CA Store 3,Toys & Games - 381,Toys & Games,Leisure & Lifestyle,CA,d_1854,1,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 3
Meat and Produce - 340 @ CA Store 1,Meat and Produce - 340,Meat and Produce,Food Items,CA,d_1854,2,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 1
Meat and Produce - 380 @ CA Store 2,Meat and Produce - 380,Meat and Produce,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 2
Snacks and Dry Foods - 024 @ CA Store 2,Snacks and Dry Foods - 024,Snacks and Dry Foods,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 2
Meat and Produce - 484 @ CA Store 3,Meat and Produce - 484,Meat and Produce,Food Items,CA,d_1854,0,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 3
Beverages and Dairy - 173 @ CA Store 2,Beverages and Dairy - 173,Beverages and Dairy,Food Items,CA,d_1854,4,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 2
Meat and Produce - 307 @ CA Store 2,Meat and Produce - 307,Meat and Produce,Food Items,CA,d_1854,3,2016-02-25,,,16.5,1.61,0.0,California,0,0,1,0,1,0,0,CA,CA Store 2
