Store_ID,State,Demand_Score,Children_%,Working_%,Elder_%,Major_Occupation,Literacy_Rate,Product_Type,Weekly_Units_Sold,Competitors,Festival_Impact,Weather_Type,Weather_Impact,Discount_Percent,Discount_Impact,Adjusted_Weekly_Units_Sold
C001,Colorado,0.74,24.26,60.42,15.32,Healthcare,86.76,Toys,152,1,0.4,Heatwave,0.02,0,0.0,217
C001,Colorado,0.74,24.26,60.42,15.32,Healthcare,86.76,Electronics,171,1,0.2,Cloudy,0.0,5,0.07,220
C001,Colorado,0.74,24.26,60.42,15.32,Healthcare,86.76,Groceries,264,1,0.1,Rain,0.1,20,0.3,415
C001,Colorado,0.74,24.26,60.42,15.32,Healthcare,86.76,Clothes_Warm,380,1,0.0,Cloudy,0.0,0,0.0,380
C001,Colorado,0.74,24.26,60.42,15.32,Healthcare,86.76,Clothes_Cold,137,1,0.0,Cloudy,0.0,0,0.0,137
C001,Colorado,0.74,24.26,60.42,15.32,Healthcare,86.76,Books,422,1,0.15,Snow,0.0,0,0.0,485
C001,Colorado,0.74,24.26,60.42,15.32,Healthcare,86.76,Home_Essentials,149,1,0.0,Rain,0.0,5,0.07,159
C001,Colorado,0.74,24.26,60.42,15.32,Healthcare,86.76,Cleaning_Materials,409,1,0.0,Rain,0.0,0,0.0,409
C002,Colorado,0.86,10.31,71.99,17.7,Tech,93.31,Toys,343,4,0.4,Rain,0.0,5,0.07,514
C002,Colorado,0.86,10.31,71.99,17.7,Tech,93.31,Electronics,435,4,0.2,Cloudy,0.0,20,0.3,679
C002,Colorado,0.86,10.31,71.99,17.7,Tech,93.31,Groceries,241,4,0.1,Heatwave,0.0,0,0.0,265
C002,Colorado,0.86,10.31,71.99,17.7,Tech,93.31,Clothes_Warm,493,4,0.0,Rain,0.0,0,0.0,493
C002,Colorado,0.86,10.31,71.99,17.7,Tech,93.31,Clothes_Cold,326,4,0.0,Cloudy,0.0,0,0.0,326
C002,Colorado,0.86,10.31,71.99,17.7,Tech,93.31,Books,210,4,0.15,Snow,0.0,0,0.0,241
